1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;
1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;
1;1;1;1;4;1;1;;;;;;;;;;;;;;;;;;
1;1;1;6;6;6;6;6;6;6;1;1;1;1;1;1;1;1;1;1;1;4;1;;
7;6;7;6;7;7;6;6;7;6;7;;;;;;;;;;;;;;
7;7;7;7;6;6;6;7;7;7;;;;;;;;;;;;;;;
1;1;1;3;6;6;6;6;6;6;6;6;6;6;6;;;;;;;;;;
6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;1;6;1;6
6;6;6;1;1;1;;;;;;;;;;;;;;;;;;;
1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;
1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;
1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;
6;1;1;1;6;1;6;1;1;1;1;1;;;;;;;;;;;;;
1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;
1;1;1;1;6;1;1;;;;;;;;;;;;;;;;;;
6;1;1;1;6;6;;;;;;;;;;;;;;;;;;;
6;6;6;6;6;6;6;1;6;6;1;6;7;6;6;6;1;6;6;6;6;6;6;6;
6;1;1;1;1;1;;;;;;;;;;;;;;;;;;;
7;1;5;1;1;1;1;;;;;;;;;;;;;;;;;;
1;1;1;7;1;7;;;;;;;;;;;;;;;;;;;
4;3;3;3;6;6;3;;;;;;;;;;;;;;;;;;
3;3;7;7;6;6;6;6;6;7;6;6;6;6;6;3;3;3;6;6;6;;;;
6;6;5;7;6;6;6;1;6;;;;;;;;;;;;;;;;
6;6;6;6;6;6;6;;;;;;;;;;;;;;;;;;
1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;
3;6;6;3;6;3;3;4;3;6;6;6;6;4;4;7;;;;;;;;;
3;6;1;6;6;3;6;5;;;;;;;;;;;;;;;;;
5;5;5;2;3;6;5;3;6;3;3;6;6;6;6;3;6;3;6;;;;;;
2;2;5;5;2;5;5;3;6;3;3;5;1;;;;;;;;;;;;
3;5;2;3;6;6;7;3;;;;;;;;;;;;;;;;;
4;1;6;4;6;4;4;4;;;;;;;;;;;;;;;;;
6;6;6;6;6;6;1;6;1;6;6;6;3;6;6;6;6;6;;;;;;;
