"species","lambda_hat","mean_run_length","n_runs"
"bat",0.583989264018837,1.32025620496397,1249
"chickadee",2.86446123706138,3.03764705882353,1275
"english",0.0404437242972334,1.02035350830209,3734
"finch",1.48327737294326,1.91859673024523,2936
"hyrax",1.04201511177317,1.60988742046011,2043
"orangutan",2.24008305697448,2.50694444444444,144
"orca",0.81363404439035,1.46138211382114,492
"pilot",0.470946741236626,1.25388601036269,193
